dms_orig,dms_dest,wgt_dist
011,011,24
011,012,281
011,019,128
011,020,4216
011,041,1711
011,042,1629
011,049,1795
011,050,461
011,061,2043
011,062,2392
011,063,2268
011,064,2342
011,065,2206
011,069,2721
011,081,1366
011,089,1481
011,091,1119
011,092,1067
011,099,1088
011,101,863
011,109,877
011,111,777
011,121,477
011,122,745
011,123,583
011,124,551
011,129,552
011,131,209
011,132,388
011,139,264
011,160,2141
011,171,664
011,172,575
011,179,686
011,181,658
011,182,555
011,183,684
011,189,550
011,190,934
011,201,746
011,202,894
011,209,864
011,211,497
011,212,397
011,219,397
011,221,411
011,222,560
011,223,379
011,229,463
011,230,1444
011,241,814
011,242,810
011,249,806
011,251,1221
011,259,1228
011,261,783
011,262,802
011,269,898
011,271,1114
011,279,1233
011,280,248
011,291,783
011,292,560
011,299,630
011,300,2142
011,311,957
011,319,1063
011,321,1984
011,329,2291
011,331,1259
011,341,969
011,342,918
011,350,1435
011,361,1122
011,362,951
011,363,1008
011,364,1025
011,369,1135
011,371,434
011,372,531
011,373,581
011,379,575
011,380,1494
011,391,509
011,392,771
011,393,625
011,394,559
011,399,721
011,401,736
011,402,736
011,409,895
011,411,2616
011,419,2586
011,421,908
011,422,768
011,423,941
011,429,902
011,441,1167
011,451,455
011,452,341
011,459,466
011,460,1271
011,471,222
011,472,209
011,473,280
011,479,256
011,481,807
011,482,580
011,483,919
011,484,714
011,485,1261
011,486,717
011,487,1039
011,488,903
011,489,1066
011,491,1851
011,499,1793
011,500,1288
011,511,733
011,512,745
011,513,750
011,519,617
011,531,2643
011,532,2551
011,539,2740
011,540,752
011,551,755
011,559,894
011,560,1705
012,011,288
012,012,22
012,019,233
012,020,4249
012,041,1636
012,042,1622
012,049,1654
012,050,539
012,061,2032
012,062,2412
012,063,1958
012,064,2286
012,065,2185
012,069,2591
012,081,1428
012,089,1506
012,091,1343
012,092,1299
012,099,1322
012,101,1075
012,109,1051
012,111,966
012,121,404
012,122,672
012,123,480
012,124,462
012,129,497
012,131,372
012,132,486
012,139,411
012,160,2633
012,171,937
012,172,718
012,179,901
012,181,883
012,182,773
012,183,868
012,189,790
012,190,1128
012,201,879
012,202,911
012,209,1125
012,211,723
012,212,675
012,219,659
012,221,198
012,222,360
012,223,181
012,229,341
012,230,1681
012,241,1014
012,242,970
012,251,1442
012,259,1463
012,261,1020
012,262,1012
012,269,1140
012,271,1251
012,279,1415
012,280,252
012,291,901
012,292,744
012,299,806
012,300,2353
012,311,1067
012,319,1118
012,321,1951
012,331,1408
012,341,1180
012,342,1133
012,350,1301
012,361,1348
012,362,1146
012,363,1230
012,364,1208
012,369,1368
012,371,612
012,372,694
012,373,707
012,379,763
012,380,1695
012,391,736
012,392,986
012,393,902
012,394,791
012,399,949
012,401,793
012,402,742
012,409,916
012,411,2713
012,419,2647
012,421,1132
012,422,1000
012,423,1167
012,429,1087
012,441,1398
012,451,606
012,452,491
012,459,578
012,460,1466
012,471,421
012,472,500
012,473,613
012,479,574
012,481,634
012,482,403
012,483,738
012,484,663
012,485,1181
012,486,532
012,487,840
012,488,716
012,489,865
012,491,1924
012,499,1750
012,500,1433
012,511,866
012,512,902
012,513,927
012,519,844
012,531,2766
012,532,2673
012,539,2939
012,540,911
012,551,1017
012,559,1164
019,011,131
019,012,236
019,019,110
019,020,4280
019,041,1733
019,042,1649
019,049,1803
019,050,554
019,061,2148
019,062,2472
019,063,2245
019,064,2420
019,065,2202
019,069,2634
019,081,1481
019,089,1507
019,091,1161
019,092,1110
019,099,1157
019,101,919
019,109,978
019,111,848
019,121,511
019,122,791
019,123,584
019,124,579
019,129,685
019,131,244
019,132,446
019,139,290
019,160,2337
019,171,751
019,172,626
019,179,778
019,181,730
019,182,588
019,183,709
019,189,587
019,190,1008
019,201,862
019,202,949
019,209,950
019,211,521
019,212,445
019,219,372
019,221,404
019,222,565
019,223,398
019,229,474
019,230,1652
019,241,844
019,242,794
019,249,872
019,251,1254
019,259,1271
019,261,813
019,262,832
019,269,937
019,271,1223
019,279,1274
019,280,282
019,291,913
019,292,625
019,299,624
019,300,2119
019,311,1074
019,319,1114
019,321,2026
019,329,2306
019,331,1347
019,339,1310
019,341,1022
019,342,951
019,350,1459
019,361,1215
019,362,970
019,363,1093
019,364,1046
019,369,1137
019,371,498
019,372,551
019,373,626
019,379,586
019,380,1515
019,391,534
019,392,778
019,393,675
019,394,627
019,399,734
019,401,858
019,402,778
019,409,931
019,411,2735
019,419,2706
019,421,919
019,422,878
019,423,1026
019,429,938
019,441,1197
019,451,579
019,452,400
019,459,551
019,460,1286
019,471,245
019,472,232
019,473,263
019,479,253
019,481,874
019,482,626
019,483,954
019,484,764
019,485,1299
019,486,745
019,487,1086
019,488,964
019,489,1050
019,491,1937
019,499,1897
019,500,1290
019,511,710
019,512,810
019,513,811
019,519,658
019,531,2724
019,532,2620
019,539,2776
019,540,762
019,551,835
019,559,924
019,560,1692
020,011,4230
020,012,4215
020,019,4282
020,020,141
020,041,3360
020,042,2947
020,049,3589
020,050,3906
020,061,3162
020,062,2715
020,063,2627
020,064,2778
020,065,2926
020,069,2772
020,081,3012
020,089,3610
020,091,4450
020,092,4472
020,099,4470
020,101,4775
020,109,4798
020,111,4692
020,121,4791
020,122,4776
020,123,4590
020,124,4563
020,129,4588
020,131,4376
020,132,4576
020,139,4518
020,160,2889
020,171,3957
020,172,3917
020,179,3981
020,181,4039
020,182,4143
020,183,4143
020,189,4062
020,190,3563
020,201,3620
020,202,3513
020,209,3503
020,211,4257
020,212,4238
020,219,4229
020,221,4036
020,222,3934
020,223,4025
020,229,3961
020,230,4891
020,241,4731
020,242,4710
020,249,4765
020,251,5035
020,259,5018
020,261,4239
020,262,4082
020,269,4135
020,271,3470
020,279,3399
020,280,4092
020,291,3578
020,292,3915
020,299,3799
020,300,3109
020,311,3476
020,319,3967
020,321,2549
020,329,2515
020,331,4981
020,339,4958
020,341,4195
020,342,4236
020,350,3152
020,361,4431
020,362,4560
020,363,4888
020,364,4288
020,369,4751
020,371,4232
020,372,4206
020,373,4274
020,379,4231
020,380,3775
020,391,3930
020,392,4017
020,393,3993
020,394,3875
020,399,3998
020,401,3535
020,402,3575
020,409,3558
020,411,2347
020,419,2515
020,421,4895
020,422,4755
020,423,3621
020,429,4826
020,441,4767
020,451,4638
020,452,4481
020,459,4627
020,460,3597
020,471,3963
020,472,4181
020,473,4324
020,479,4226
020,481,3726
020,482,3911
020,483,4340
020,484,3701
020,485,3233
020,486,3861
020,487,4326
020,488,4185
020,489,3691
020,491,3139
020,499,3357
020,500,4865
020,511,4557
020,512,4579
020,513,4488
020,519,4473
020,531,2254
020,532,2309
020,539,2436
020,540,4547
020,551,3933
020,559,3872
020,560,3456
041,011,1711
041,012,1664
041,019,1739
041,020,3279
041,041,50
041,042,127
041,049,175
041,050,1414
041,061,415
041,062,824
041,063,370
041,064,766
041,065,639
041,069,822
041,081,847
041,089,858
041,091,2587
041,092,2540
041,099,2603
041,101,2566
041,109,2416
041,111,2351
041,121,2041
041,122,2285
041,123,2111
041,124,2087
041,129,2093
041,131,1865
041,132,2066
041,139,2004
041,160,1187
041,171,1774
041,172,1651
041,179,1748
041,181,1799
041,182,1759
041,183,1876
041,189,1817
041,190,1694
041,201,1327
041,202,1100
041,209,1265
041,211,1860
041,212,1785
041,219,1828
041,221,1469
041,222,1335
041,223,1529
041,229,1424
041,230,3054
041,241,2332
041,242,2267
041,249,2347
041,251,2681
041,259,2672
041,261,2126
041,262,1965
041,269,2193
041,271,1834
041,279,1928
041,280,1537
041,291,1364
041,292,1476
041,299,1549
041,300,1332
041,311,1428
041,319,1297
041,321,453
041,329,667
041,331,2706
041,339,2686
041,341,2427
041,342,2419
041,350,577
041,361,2582
041,362,2355
041,363,2523
041,364,2319
041,369,2696
041,371,2088
041,372,2134
041,373,2208
041,379,2181
041,380,1697
041,391,1872
041,392,2057
041,393,1953
041,394,1868
041,399,1973
041,401,1006
041,402,1124
041,409,1143
041,411,1357
041,419,1350
041,421,2371
041,422,2125
041,423,2395
041,429,2285
041,441,2634
041,451,2271
041,452,2000
041,459,2107
041,460,1498
041,471,1508
041,472,1706
041,473,1886
041,479,1895
041,481,1008
041,482,1307
041,483,1183
041,484,1071
041,485,445
041,486,1165
041,487,1118
041,488,972
041,489,1086
041,491,695
041,499,492
041,500,2806
041,511,2302
041,512,2484
041,513,2284
041,519,2308
041,531,1536
041,532,1413
041,539,1498
041,540,2151
